time,src_user,src_domain,source_computer,destination_computer,authentication_type,logon_type,authentication_orientation,success_failure,label
-1.6034527961806888,C10241$,DOM1,C467,C467,none,Network,LogOff,Success,0
-1.6034527961806888,C10241$,DOM1,C10241,C10241,none,none,TGS,Success,0
-1.6034527961806888,C10197$,DOM1,C1065,C1065,none,Network,LogOff,Success,0
-1.6034527961806888,C10193$,DOM1,C1065,C1065,none,Network,LogOff,Success,0
-1.6034527961806888,C10175$,DOM1,C586,C586,none,Network,LogOff,Success,0
-1.6034527961806888,C10175$,DOM1,C10175,C586,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,C10161$,DOM1,C10161,C612,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C797,C586,NTLM,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C586,C586,none,Network,LogOff,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C497,C586,NTLM,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C286,C586,NTLM,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C2532,C586,NTLM,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C2021,C586,NTLM,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C586,C14644,C586,NTLM,Network,LogOn,Success,0
-1.6034527961806888,ANONYMOUS LOGON,C1909,C1909,C1909,none,Network,LogOff,Success,0
-1.6034527961806888,C1862$,DOM1,C1862,C586,none,none,TGS,Success,0
-1.6034527961806888,C285$,DOM1,C457,C457,none,Network,LogOff,Success,0
-1.6034527961806888,C285$,DOM1,C285,C457,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,C2815$,DOM1,C2815,C457,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,C281$,DOM1,C625,C625,none,Network,LogOff,Success,0
-1.6034527961806888,C281$,DOM1,C281,C625,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,C281$,DOM1,C281,C528,none,none,TGS,Success,0
-1.6034527961806888,C281$,DOM1,C281,C457,none,none,TGS,Success,0
-1.6034527961806888,C281$,DOM1,C281,C281,none,none,TGS,Success,0
-1.6034527961806888,C281$,DOM1,C1798,C281,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,C2297$,DOM1,C467,C467,none,Network,LogOff,Success,0
-1.6034527961806888,C2092$,DOM1,C1065,C1065,none,Network,LogOff,Success,0
-1.6034527961806888,C2072$,DOM1,C2250,C625,Kerberos,Network,LogOn,Success,0
-1.6034527961806888,C1970$,DOM1,C1970,C1970,none,none,TGS,Success,0
-1.6034527961806888,C1914$,DOM1,C529,C529,none,Network,LogOff,Success,0
-1.6034527961806888,C1863$,DOM1,C612,C612,none,Network,LogOff,Success,0
-1.6034527961806888,C104$,DOM1,C105,C104,none,none,TGS,Success,0
-1.6034527961806888,C538$,DOM1,C539,C625,Kerberos,Network,LogOn,Success,0
